string_internet_via_lan;Internet via LAN;Internet über LAN
string_last_ncodes;Last\nCodes;Last\nCodes
string_can_t_connect_to_nethub_jcors_;Can\'t connect to NetHub/JCORS!;Kann keine Verbindung zu NetHub/JCORS herstellen!
string_reading_file_list___;Reading file list&#8230||;Dateiliste lesen&#8230||
string_v6_engines;V6 Engines;V6-Motoren
string_10_sats_;10 sats;10 Sättigungen
string_can_t_setup_wifi_enc_mode;Can\'t setup WiFi Enc.Mode;Kann WiFi Enc.Mode nicht einrichten
string_frule_;FRule:;FRule:
string_can_t_turn_off_gps_using_;Can\'t turn off GPS using!;Kann GPS nicht ausschalten mit!
string_100hz;100Hz;100Hz
string_receiver_file_name_has_wrong_chars_;Receiver file name has wrong chars!;Der Dateiname des Empfängers hat falsche Zeichen!
string_60sec;60sec;60sec
string_vrms_nfilter;VRMS\nFilter;VRMS\nFilter
string_rcv_server_;RCV Server ;RCV-Server 
string_on;on;auf
string_ok;OK;OK
string_15sec;15sec;15sec
string_close_file;Close file;Datei schließen
string_calibration_error_;Calibration error!;Kalibrierungsfehler!
string_your_hardware_is_limited_compatible_with_rtk_v6__;Your hardware is limited compatible with RTK V6+!;Ihre Hardware ist nur bedingt kompatibel mit RTK V6+!
string_overwrite__s;Overwrite %s;Überschreiben Sie %s
string_wpa_password_should_be_at_least_8_characters_;WPA password should be at least 8 characters!;WPA-Passwort sollte mindestens 8 Zeichen lang sein!
string_antenna_height;Antenna Height;Antenne Höhe
string_error_in_settings;Error in settings;Fehler in den Einstellungen
string_stakeout_surface;Stakeout Surface;Absteckung Oberfläche
string_nethub_;NetHub:;NetHub:
string_along;Along;Entlang
string_lock_correction_source_from_modification_by_password;Lock Correction source from modification by password;Korrekturquelle vor Änderung durch Passwort sperren
string_open_street_map;Open Street Map;Straßenkarte öffnen
string_5hz;5Hz;5Hz
string_source_with_name__s_already_exists_;Source with name %s already exists!;Quelle mit Namen %s existiert bereits!
string_all_targets_have_staked_out;All targets have staked out;Alle Ziele sind abgesteckt
string_battery_a;Battery A;Batterie A
string_pick_points_on_map_to_add_line;Pick points on map to add line;Punkte auf der Karte auswählen, um Linie hinzuzufügen
string_battery_b;Battery B;Batterie B
string_selected_area___s_perimeter___s;Selected Area: %s Perimeter: %s;Ausgewählter Bereich: %s Perimeter: %s
string_wrong_longitude_;Wrong longitude!;Falscher Längengrad!
string_snr_below_specified_minimum_level;SNR below specified minimum level;SNR unter dem angegebenen Mindestwert
string_fix;FIX;FIX
string_intersection;Intersection;Schnittpunkt
string_stay_for__dsec;Stay for %dsec;Aufenthalt für %dsec
string_start_station;Start Station;Start Station
string_vendor_;Vendor:;Hersteller:
string_can_t_turn_on_irnss_using_;Can\'t turn on IRNSS using!;Kann IRNSS nicht einschalten mit!
string_time_out_error___;Time out error!!!;Zeitüberschreitungsfehler!!!
string_hz;Hz;Hz
string_firmware_;Firmware:;Firmware:
string_empty_ip_address_;Empty IP address!;Leere IP-Adresse!
string_drawings;Drawings;Zeichnungen
string_programming_stop_session_error;Programming stop session error;Programmier-Sitzungsstopp-Fehler
string_call_sign_;Call Sign:;Rufzeichen:
string_can_t_read_cs_from_vrs_;Can\'t read CS from VRS!;Kann CS nicht von VRS lesen!
string__d_triangles;%d triangles;%d Dreiecke
string_wrong_latitude_;Wrong latitude!;Falscher Breitengrad!
string_static;Static;Statisch
string_external;External;Extern
string_password_;Password:;Passwort:
string_job;Job;Job
string_fix__float_or_dgps;Fix, Float or DGPS;Fix, Schwimmer oder DGPS
string_yandex_map;Yandex Map;Yandex-Karte
string_temperature;Temperature;Temperatur
string_can_t_turn_on_sbas_tracking_;Can\'t turn on SBAS tracking!;Kann die SBAS-Verfolgung nicht einschalten!
string_style_has_been_unlocked_;Style has been unlocked.;Stil wurde freigeschaltet.
string_rtk_v6;RTK V6;RTK V6
string_can_not_delete_correction_source__1_s__n__file__2_s__;Can not delete correction source %1$s \n( file %2$s );Kann Korrekturquelle %1$s \n( Datei %2$s ) nicht löschen
string_continue_survey;Continue survey;Vermessung fortsetzen
string_what_to_do_with__1_s__2_s_;What to do with %1$s %2$s?;Was soll mit %1$s %2$s gemacht werden?
string_stop_survey;Stop Survey;Vermessung stoppen
string_1hour__02dmins;1hour %02dmins;1Stunde %02dmins
string_can_t_set_tcp_mode_;Can\'t set tcp/mode!;Kann tcp/mode nicht einstellen!
string_unhealthy_sv;Unhealthy SV;Ungesunder SV
string_wrong_rcv_client_port_;Wrong RCV Client Port!;Falscher RCV Client Port!
string_rtk_float;RTK Float;RTK schweben
string_charging_mode_is_set_to_;Charging mode is set to ;Lademodus ist eingestellt auf 
string_view_edit;View/Edit;Anzeigen/Bearbeiten
string_ge_ht1;;
string_int_uhf;Int.UHF;Int.UHF
string_10sec__0_1hz_;10sec (0.1Hz);10sec (0,1Hz)
string_error_reconnect;Error/Reconnect;Fehler/Wiederverbinden
string__error__s_;(Error:%s);(Fehler:%s)
string_can_t_convert_coordinate_to_wgs84_;Can\'t convert coordinate to WGS84!;Kann Koordinate nicht in WGS84 umrechnen!
string_ppp_status;PPP status;PPP-Status
string_hrms_nfilter;HRMS\nFilter;HRMS\nFilter
string_occupation_ntime;Occupation\nTime;Belegung\nZeit
string_stakeout_point;Stakeout Point;Absteckpunkt
string_delete_style__s;Delete style %s;Stil %s löschen
string_password;Password;Passwort
string_params;Params;Params
string_compass_calibration____;Compass Calibration &#8230||;Kompass-Kalibrierung &#8230||
string_with_generic_radio;with Generic radio;mit generischem Funk
string_no_options_;No options:;Keine Optionen:
string_ber;BER;BER
string_can_t_start_gsm_radio_to_base_mode;Can\'t start GSM radio to base mode;Kann GSM-Funk nicht im Basismodus starten
string_frequency_;Frequency:;Frequenz:
string_ref__frame_;Ref. Frame:;Ref. Rahmen:
string_setup_failed___error_;Setup failed! (Error=;Setup fehlgeschlagen! (Fehler=
string_licensed;LICENSED;LIZENZIERT
string_lan_ip_address_;LAN IP Address:;LAN IP-Adresse:
string_ntrip_server;Ntrip Server;Ntrip Server
string_ca_l1_slot_is_used_in_rtk_processing;CA/L1 slot is used in RTK processing;CA/L1-Steckplatz wird in der RTK-Verarbeitung verwendet
string_corr_rate_;Corr.Rate=;Korr.Rate=
string_ntripserver_;NtripServer:;NtripServer:
string_0_5_sec__2hz_;0.5 sec (2Hz);0,5 sec (2Hz)
string_v;V;V
string_what_to_do_;What to do?;Was ist zu tun?
string_can_t_convert_coordinate_;Can\'t convert coordinate!;Kann die Koordinate nicht konvertieren!
string_no_file_logging;No file logging;Keine Dateiprotokollierung
string_restart_station;Restart station;Station neu starten
string_such_correction_source_name_already_exists_;Such correction source name already exists!;Ein solcher Korrekturquellenname existiert bereits!
string__1_d_of__2_d;%1$d of %2$d;%1$d von %2$d
string_do_not_move_;Do not move!;Nicht verschieben!
string_can_t_setup_3g_parameters;Can\'t setup 3G parameters;Kann 3G-Parameter nicht einrichten
string_disconnected;disconnected;Getrennte Verbindung
string_fixed;Fixed;Behoben
string_c;C;C
string_trajectory__1_s_logging_to_file__2_s_is_in_progress_;Trajectory %1$s logging to file %2$s is in progress!;Die Aufzeichnung der Trajektorie %1$s in die Datei %2$s ist im Gange!
string_base_station__no_connection;Base Station: No connection;Basisstation: Keine Verbindung
string_can_t_turn_on_qzss_tracking_;Can\'t turn on QZSS tracking!;Kann die QZSS-Verfolgung nicht einschalten!
string_fccid;FCCID;FCCID
string_tilt_ncorrection;Tilt\nCorrection;Neigung\nKorrektur
string_auxport;AuxPort;AuxPort
string_on_fixed_tip_;On(fixed tip);Ein (feste Spitze)
string_base_station_stopped;Base Station Stopped;Basisstation gestoppt
string_can_t_reconnect_receiver;Can\'t reconnect receiver;Kann den Empfänger nicht wieder verbinden
string_login;Login;Anmeldung
string_sec;sec;sec
string_ext_fh;Ext.FH;Ext.FH
string_rover_client_setup_failed_;Rover Client Setup failed!;Rover Client Setup fehlgeschlagen!
string_can_t_setup_nethub_parameters_;Can\'t setup NetHub parameters!;Kann NetHub Parameter nicht einrichten!
string_internet_from_;Internet from:;Internet von:
string_connected_to_internet___;Connected to Internet&#8230||;Verbunden mit Internet&#8230||
string_client;client;Client
string_wrong_frequency__nfrequency_should_be_a_multiply_of_6250hz_;Wrong frequency!\nFrequency should be a multiply of 6250Hz!;Falsche Frequenz!\nFrequenz sollte ein Vielfaches von 6250Hz sein!
string_source_info;Source Info;Quelle Info
string_status;Status;Status
string_reading_position_from_receiver;Reading Position From Receiver;Position vom Empfänger lesen
string_read_from_receiver;Read from receiver;Lesen vom Empfänger
string_board;Board;Karte
string_names;Names;Namen
string_antenna__1_s_doesnot_match_receiver__2_s_;Antenna %1$s doesnot match receiver %2$s!;Antenne %1$s stimmt nicht mit Empfänger %2$s überein!
string_p_l1__p_l2__and_l5_slots_are_used_in_rtk_processing;P/L1, P/L2, and L5 slots are used in RTK processing;P/L1-, P/L2- und L5-Slots werden in der RTK-Verarbeitung verwendet
string_level_offsets_are_cleared;Level Offsets are cleared;Pegel-Offsets sind gelöscht
string_power_output_to_serial_ports_has_turned_off;Power Output to serial ports has turned off;Stromausgang zu den seriellen Schnittstellen ist ausgeschaltet
string_pick_point_;Pick Point:;Punkt auswählen:
string_corrections_;Corrections:;Korrekturen:
string_volts;Volts;Volts
string_enable_clusters;Group points to clusters;Punkte zu Clustern gruppieren
string_ca_l1_and_l5_slots_are_used_in_rtk_processing;CA/L1 and L5 slots are used in RTK processing;CA/L1 und L5 Steckplätze werden in der RTK-Verarbeitung verwendet
string_connected_to_wifi___;Connected to WiFi&#8230||;Verbunden mit WiFi&#8230||
string_collect_ntime;Collect\nTime;Zeit sammeln
string_50hz;50Hz;50Hz
string_new_generic_radio;new Generic radio;neues generisches Funkgerät
string_unknown;Unknown;Unbekannt
string_average_with__s;Average with %s;Durchschnitt mit %s
string_s_n_;S/N:;S/N:
string_mapbox;MapBox;MapBox
string_setup_ntrip_client_error;Setup Ntrip client error;Setup Ntrip-Client-Fehler
string_radio_setup_error;Radio setup error;Radio-Setup-Fehler
string_1hz;1Hz;1Hz
string_connected_to____s;Connected to : %s;Verbunden mit : %s
string_save_interm_result;Save interm.result;Interm.Ergebnis speichern
string_can_t_stop_receiver_log_;Can\'t stop receiver log!;Kann das Empfängerprotokoll nicht stoppen!
string_prev_point_ndistance;Prev.Point\nDistance;Prev.Point\nDistance
string_ionosphere_free_combination_used_for_position_computation;Ionosphere-free combination used for position computation;Ionosphärenfreie Kombination für Positionsberechnung verwendet
string_gsm_radio_error____s_;GSM radio error! (%s);GSM-Funkfehler! (%s)
string_dist_;Dist.;Dist.
string_view_style;View style;Ansicht Stil
string_empty_configuration_name_;Empty configuration name!;Leerer Konfigurationsname!
string_do_you_want_to_save_point_;Do you want to save point?;Möchten Sie den Punkt speichern?
string_delete;Delete;löschen.
string_base_station__;Base Station: ;Basisstation: 
string_ntripcaster_;NtripCaster:;NtripCaster:
string_p_l1_and_p_l2_measurements_are_used_in_rtk_processing;P/L1 and P/L2 measurements are used in RTK processing;P/L1- und P/L2-Messungen werden in der RTK-Verarbeitung verwendet
string_ip_address_;IP Address:;IP-Adresse:
string_radio_is_connected_to;Radio is connected to;Funkgerät ist verbunden mit
string_coords__only;Coords. only;Nur Koordinaten
string_all_epochs;All Epochs;Alle Epochen
string_side__d_is_calibrated_ok;Side %d is calibrated OK;Seite %d ist kalibriert OK
string_rtk_bases;RTK Bases;RTK-Basen
string_ca_l1_and_p_l2_measurements_are_used_in_rtk_processing;CA/L1 and P/L2 measurements are used in RTK processing;CA/L1- und P/L2-Messungen werden in der RTK-Verarbeitung verwendet
string_u_;U ;U 
string_rtcm3_ncoord_sys;RTCM3\nCoord.Sys;RTCM3\nCoord.Sys
string_baud_rate_;Baud Rate:;Baudrate:
string_cogo_offset_task__;Cogo Offset Task..;Cogo Offset Aufgabe...
string_rtk_surveying_is_on___;RTK Surveying is on&#8230||;RTK-Vermessung ist eingeschaltet&#8230||
string_style__s_already_exists_;Style %s already exists!;Stil %s existiert bereits!
string_confirm;Confirm;Bestätigen Sie
string_select_point_on_map_to_stake_it;Select point on map to stake it;Punkt auf Karte wählen, um ihn abzustecken
string_start_undefined;Start undefined;Start undefiniert
string_n__1__3f_e__2__3f;N:%1$.3f_E:%2$.3f;N:%1$.3f_E:%2$.3f
string_fh_radio;FH Radio;FH-Funk
string_new_static_ip_base;new Static IP Base;neue statische IP-Basis
string_move_;Move:;Verschieben:
string_sleep_mode_failed;Sleep mode failed;Ruhezustand fehlgeschlagen
string_line_;Line:;Leitung:
string_with_direct_call__csd_;with Direct Call (CSD);mit Direktruf (CSD)
string_hour_;hour.;Stunde.
string_last_nnames;Last\nNames;Last\nNamen
string_style_has_locked_of_modification;Style has locked of modification;Stil hat Änderung gesperrt
string_settings___s__already_exists_;Settings \'%s\' already exists!;Einstellungen \'%s\' existiert bereits!
string_list;List;Liste
string_hor_length_;Hor.Length:;Hor.Länge:
string_uhf_radio_on_;UHF radio on ;UHF-Radio an 
string_android_ip_address_;Android IP Address:;Android IP-Adresse:
string_with_nethub_jcors;with NetHub/JCORS;mit NetHub/JCORS
string_wrong_ntripserver_port_;Wrong NtripServer Port!;Falscher NtripServer Port!
string_inconsistent_motion;Inconsistent motion;Inkonsistente Bewegung
string_ionospheric_and_or_tropospheric_corrections_are_not_available;Ionospheric and/or tropospheric corrections are not available;Ionosphärische und/oder troposphärische Korrekturen sind nicht verfügbar
string_no_enu_data;No ENU Data;Keine ENU-Daten
string_can_t_turn_on_use_l1c_;Can\'t turn on use L1C!;Kann nicht mit L1C einschalten!
string_standalone;Standalone;Eigenständig
string_wrong_frequency__nfrequency_should_be_from__1_f_to__2_f;Wrong frequency!\nFrequency should be from %1$f to %2$f;Falsche Frequenz!\nFrequenz sollte von %1$f bis %2$f sein
string_wrong_northing_;Wrong northing!;Falsche Nordung!
string_starting_radio___s____;Starting radio (%s)&#8230||;Funkgerät starten (%s)&#8230||
string_can_t_setup_generic_radio_;Can\'t setup Generic radio!;Kann kein generisches Funkgerät einrichten!
string_wrong_power__npower_should_be_from__1_f_to__2_f;Wrong power!\nPower should be from %1$f to %2$f;Falsche Leistung!\nLeistung sollte zwischen %1$f und %2$f liegen
string_horizontal_length___s;Horizontal Length: %s;Horizontale Länge: %s
string_height_filter;Height Filter;Höhenfilter
string_rover_has_moved;Rover has moved;Rover hat sich bewegt
string_lan;LAN;LAN
string_trimtalk450s_pars_;Trimtalk450S pars.;Trimtalk450S pars.
string_connecting_to_server___;Connecting to server&#8230||;Verbindung zum Server herstellen&#8230||
string_all;All;Alle
string_int_fh;Int.FH;Int.FH
string_compare_with__s;Compare with %s;Vergleich mit %s
string_selected_area___s__perimeter__s;Selected Area: %s, perimeter:%s;Ausgewählter Bereich: %s, Umfang:%s
string_all_measurements;All Measurements;Alle Messungen
string_select_rtk_base;Select RTK Base;RTK-Basis auswählen
string__ds;%ds;%s
string_antenna;Antenna;Antenne
string_fix__float;Fix, Float;Fix, Schwimmend
string_vrs;VRS;VRS
string_connected_to_serial_b;connected to Serial B;angeschlossen an Serial B
string_set_to_default;Set to default;Auf Standard einstellen
string_disable_clusters;Disable Clusters;Deaktivieren von Clustern
string_min_;min.;min.
string__dm_;%dm ;%dm 
string_fix_float_dgps;Fix,Float,DGPS;Fix,Schwebekörper,DGPS
string_aim;Aim;Anvisieren
string_internal_gsm_radio;Internal GSM radio;Interner GSM-Funk
string_off_line;Off Line;Aus Linie
string_er_;er:;er:
string_receiver_is_turned_off;Receiver is turned off;Empfänger ist ausgeschaltet
string_l2c_slot_is_used_in_rtk_processing;L2C slot is used in RTK processing;L2C-Slot wird in der RTK-Verarbeitung verwendet
string_signal_priorietis_for_engine__d;Signal Priorietis for Engine %d;Signal Priorietis für Motor %d
string_offset;Offset;Versatz
string_slant;slant;Schräglage
string_survey_completed___1_s__2_s_created_;Survey completed! %1$s %2$s created.;Vermessung abgeschlossen! %1$s %2$s erstellt.
string__d_bs_point;%d BS Point;%d BS Punkt
string_do_you_want_to_save_point_and_raw_file_;Do you want to save point and raw file?;Möchten Sie Punkt und Rohdatei speichern?
string_trimmark_3_params_;Trimmark 3 params.;Trimmark 3 params.
string_applying_setting___;Applying setting&#8230||;Einstellung anwenden&#8230||
string_epochs;epochs;Epochen
string_can_t_setup_wifi_address;Can\'t setup WiFi Address;Kann WiFi-Adresse nicht einrichten
string_charger;Charger;Ladegerät
string_remove_pp;Remove PP;PP entfernen
string__s_has_removed_;%s has removed!;%s hat entfernt!
string_starting_survey___;Starting survey&#8230||;Umfrage starten&#8230||
string_new_nethub_base;new NetHub Base;neue NetHub Basis
string_selected_area___s;Selected Area: %s;Ausgewählter Bereich: %s
string_new_ntripserver_base;new NtripServer Base;neu NtripServer Basis
string_across;Across;Über
string_rotation____1_s_nbs_angle____2_s_nbs_angle_error____3_s;Rotation = %1$s\nBS Angle = %2$s\nBS Angle Error = %3$s;Drehung = %1$s\nBS Winkel = %2$s\nBS Winkelfehler = %3$s
string_wrong_height_;Wrong height!;Falsche Höhe!
string_point__s_has_been_created;Point %s has been created;Punkt %s ist erstellt worden
string_calibrate;Calibrate;Kalibrieren
string_surface_triangles;Surface Triangles;Oberflächendreiecke
string___0fhz;%.0fHz;%.0fHz
string_apc;APC;APC
string_along_line;Along Line;Entlang Linie
string_internal_fh_radio;Internal FH radio;Interner FH-Funk
string_debug_started_ok;Debug started ok;Debug gestartet ok
string_tcp_cl_input_mode_setup_error;TCP/CL input mode setup error;TCP/CL-Eingabemodus-Setup-Fehler
string_jps_file_nrecording;JPS File\nRecording;JPS Datei\nAufzeichnung
string_5sec;5sec;5sec
string_no_corrections_at_any_port_;No corrections at any port!;Keine Korrekturen an irgendeinem Port!
string_can_t_setup_wifi_mask;Can\'t setup WiFi Mask;Kann die WiFi-Maske nicht einrichten
string_do_you_want_to_delete_style__s__nthe_action_can_be_undone_;Do you want to delete style %s?\nThe action can be undone!;Möchten Sie den Stil %s löschen?\nDie Aktion kann rückgängig gemacht werden!
string_trimmarkii_iie_pars__;TrimmarkII/IIe pars.:;TrimmarkII/IIe pars:
string___0fsec;%.0fsec;%.0fsec
string_30sec;30sec;30sek
string_google_maps;Google Maps;Google Karten
string_vert_;vert.;vert.
string_bootloader_;Bootloader:;Bootloader:
string_with_uhf_radio;with UHF radio;Mit UHF-Radio
string_can_t_activate_wifi__n;Can\'t activate WiFi!\n;Kann WiFi nicht aktivieren!
string_can_t_convert_coordinates_;Can\'t convert coordinates!;Kann Koordinaten nicht konvertieren!
string_geodetic_az_;Geodetic Az.;Geodätischer Az.
string_receiver__;Receiver: ;Empfänger: 
string_stop_station_with_fh_radio;Stop station with FH radio;Haltestelle mit FH-Funk
string_rtpk;RTPK;RTPK
string_reset_nrtk;Reset\nRTK;Zurücksetzen\nRTK
string_start_stop_nrtk;Start/Stop\nRTK;Start/Stop\nRTK
string_antenna_height_is_not_setup__please_recheck_antenna;Antenna height is not setup! Please recheck antenna;Antennenhöhe ist nicht eingestellt! Bitte Antenne erneut prüfen
string_0_2_sec__5hz_;0.2 sec (5Hz);0,2 sec (5Hz)
string_ready;Ready;Bereit
string_can_t_turn_off_qzss_tracking_;Can\'t turn off QZSS tracking!;Kann die QZSS-Nachführung nicht ausschalten!
string_internet_from;Internet from;Internet von
string_20hz;20Hz;20Hz
string_wrong_power__npower_should_be_from__1_fw__2_fdbm__to__3_fw__4_fdbm__;Wrong power!\nPower should be from %1$fW(%2$fdBm) to %3$fW(%4$fdBm)!;Falsche Leistung!\nDie Leistung sollte von %1$fW(%2$fdBm) bis %3$fW(%4$fdBm) sein!
string_duplicate_correction_source;Duplicate Correction Source;Doppelte Korrektur Quelle
string_target__s_selected;Target %s selected;Ziel %s ausgewählt
string_can_t_activate_3g_gprs__n;Can\'t activate 3G/GPRS!\n;Kann 3G/GPRS nicht aktivieren!\n
string_with_ntripserver;with NtripServer;mit NtripServer
string_measurements_are_not_available;Measurements are not available;Messungen sind nicht verfügbar
string_angles_distance_only;Angles/Distance only;Nur Winkel/Entfernung
string_current_traffic;Current traffic;Aktueller Verkehr
string_can_t_enable_output_messages_to_a_port_;Can\'t enable output messages to a port!;Kann die Ausgabe von Nachrichten an einen Port nicht aktivieren!
string_reject_heights__1_s__u00b1__2_s;Reject heights %1$s \u00B1 %2$s;Ablehnen von Höhen %1$s \u00B1 %2$s
string_imu_restart_ok;IMU restart OK;IMU-Neustart OK
string_server;server;Server
string_generic_radio_radio_on_;Generic radio radio on ;Generisches Funkgerät an 
string_internet_via_android;Internet via Android;Internet über Android
string_target_is_not_selected_;Target is not selected!;Ziel ist nicht ausgewählt!
string_warning;Warning;Warnung
string_rtkbase_points;RTKBase Points;RTKBase Punkte
string__dh_;%dh ;%dh 
string_can_t_turn_on_glo_tracking_;Can\'t turn on GLO tracking!;Kann GLO-Tracking nicht einschalten!
string_temporary_point_p2_is_not_surveyed_yet_;Temporary point P2 is not surveyed yet!;Temporärer Punkt P2 ist noch nicht vermessen!
string_along_;Along:;Entlang:
string_wait_corrections___;Wait corrections&#8230||;Korrekturen abwarten&#8230||
string_background_file;Background File;Hintergrund-Datei
string_initial_conditions__position_and_velocity_vectors__from_the_ephemeris_data_set_may_be_wrong;Initial conditions (position and velocity vectors) from the ephemeris data set may be wrong;Anfangsbedingungen (Positions- und Geschwindigkeitsvektoren) aus dem Ephemeriden-Datensatz können falsch sein
string_can_t_turn_off_gal_tracking_;Can\'t turn off GAL tracking!;Kann GAL-Tracking nicht abschalten!
string_traverse_cogo_task__;Traverse Cogo task..;Traverse Cogo Aufgabe...
string_do_you_want_to_continue_anyway_;Do you want to continue anyway?;Wollen Sie trotzdem fortfahren?
string_unregistered;UNREGISTERED;UNREGISTERED
string_course;Course;Kurs
string_stop_and_close;Stop and Close;Anhalten und schließen
string_surface_file_;Surface File ;Oberfläche Datei 
string_turned_on_ok;Turned on OK;Eingeschaltet OK
string_receiver;Receiver;Empfänger
string_simplex_pars__;Simplex pars.:;Simplex-Pars:
string_rover_movement_has_detected__what_to_do_;Rover movement has detected! What to do?;Rover-Bewegung wurde erkannt! Was ist zu tun?
string_ntrip_server_error_;Ntrip Server error!;Ntrip Server Fehler!
string_angle;Angle;Winkel
string_rtk_base__s_is_working___;RTK Base %s is working&#8230||;RTK-Basis %s funktioniert&#8230||
string_set_receiver_this_side_up_for_level_calibration;Set receiver this side up for level calibration;Stellen Sie den Empfänger auf diese Seite für die Höhenkalibrierung
string_distance1;Distance1;Entfernung1
string_rename;Rename;Umbenennen
string_distance2;Distance2;Entfernung2
string_ionospheric_corrections_are_not_received_from_base;Ionospheric corrections are not received from base;Ionosphärenkorrekturen werden nicht von der Basis empfangen
string_licensed_by_in_app_purchase;LICENSED by In-App Purchase;LIZENZIERT durch In-App-Kauf
string_ntrip_status;Ntrip status;Ntrip-Status
string_more;More;Mehr
string_is_not_enought_;Is not enought!;Reicht nicht aus!
string_ant_;Ant.;Ant.
string_ascii_file___txt;ASCII file *.txt;ASCII-Datei *.txt
string_orientation;Orientation;Ausrichtung
string_setup_client_error;Setup client error;Client-Fehler einrichten
string_pick_to_select_intersection;Pick To select intersection;Pick Um Schnittpunkt zu wählen
string_eye;Eye;Auge
string_correct;Correct;Richtig
string_trimmark3_pars__;Trimmark3 pars.:;Trimmark3 Pars:
string_with_rcv__tcp_;with RCV (TCP);mit RCV (TCP)
string_finish;Finish;Fertigstellen
string_surveyed_points;Surveyed Points;Vermessene Punkte
string_pole_end_moved;Pole end moved;Polende verschoben
string__1_s__2_dbs_fec__3_s_scr__4_s;%1$s %2$dbs FEC:%3$s Scr:%4$s;%1$s %2$dbs FEC:%3$s Scr:%4$s
string_this_sv_is_excluded_from_solution_since_its_system_number_is_unknown;This SV is excluded from solution since its system number is unknown;Dieser SV wird von der Lösung ausgeschlossen, da seine Systemnummer unbekannt ist
string_can_t_start_spectrum_;Can\'t start spectrum!;Kann Spektrum nicht starten!
string_store_offset;Store Offset;Versatz speichern
string_ephemeris_data_is_too_old;Ephemeris data is too old;Ephemeridendaten sind zu alt
string_receiver_file_name_is_too_long_;Receiver file name is too long!;Der Name der Empfängerdatei ist zu lang!
string_can_t_convert_coordinates_to_wgs84_;Can\'t convert coordinates to WGS84!;Kann Koordinaten nicht nach WGS84 konvertieren!
string_unable_to_minimize;Unable to minimize;Kann nicht minimieren
string_side__1_d_calibration_progress_is__2_d__;Side %1$d calibration progress is %2$d%%;Seite %1$d Kalibrierungsfortschritt ist %2$d%%
string_can_t_turn_off_beidou_tracking_;Can\'t turn off BeiDou tracking!;Kann die BeiDou-Nachführung nicht abschalten!
string_resection;Resection;Resektion
string_no_data;No Data;Keine Daten
string_signal;Signal;Signal
string_l5_slot_is_used_in_rtk_processing;L5 slot is used in RTK processing;L5-Slot wird in der RTK-Verarbeitung verwendet
string_survey_points;Survey Points;Vermessungspunkte
string_arp;ARP;ARP
string_can_t_delete_last_surveyed_object_;Can\'t delete last surveyed object!;Kann letztes vermessenes Objekt nicht löschen!
string_log_file_created_ok;Log file created OK;Logdatei erstellt OK
string_no_current_position_;No current position!;Keine aktuelle Position!
string__1_dhours__2_dminutes;%1$dhours %2$dminutes;%1$Stunden %2$Minuten
string_rtk;RTK;RTK
string_connected_to;Connected to;Verbunden mit
string_wrong_corrections_;Wrong corrections!;Falsche Korrekturen!
string_received_lost;Received/Lost;Empfangen/Verloren
string_reset_receiver___;Reset receiver&#8230||;Empfänger zurücksetzen&#8230||
