button_start_corrections;Start Corrs.;Starten Sie Corrs.
multi_rtk_summary;Multi RTK runs several RTK engines simultinously;Multi RTK lässt mehrere RTK-Engines gleichzeitig laufen
button_configure;Configure;Konfigurieren Sie
usa_zone_parameters;USA zone parameters;USA Zonenparameter
rtk_base_corrections;Base Corrections;Basis-Korrekturen
string_rtk_stop;Stop RTK;RTK stoppen
compass_calibration_prepared;Take device into your hand rotate it in all directions;Nehmen Sie das Gerät in die Hand und drehen Sie es in alle Richtungen
title_sat_systems;Sat.System;Sat.System
rtk_computation_mode;RTK Computation mode;RTK Berechnungsmodus
target_surface;Surface\nStakeout;Oberfläche\nAusnahme
string_list_menu;List;Liste
lift_and_tilt_all_epochs_collected;All epochs are collected at Lift/Titl survey;Alle Epochen werden bei der Vermessung von Lift/Titl erfasst
tcpo_on;TCPO Mode;TCPO-Modus
site_name;Site Name;Standort Name
button_read_cs;Read CS from Receiver;CS vom Empfänger lesen
resurvey;ReSurvey;ReSurvey
port;Port;Anschluss
button_read_from_receiver;Read from Receiver;Lesen vom Empfänger
rtk_corrections;RTK Corrections;RTK-Korrekturen
survey_complete;Survey Completed;Vermessung abgeschlossen
epoch_rejected_verify;Epoch Rejected in Verify;Epoche in Verify abgelehnt
scrambling;Scrambling;Scrambling
wrong_maximum_corrected_tilt_angle;Wrong maximum corrected tilt angle!;Falscher maximaler korrigierter Neigungswinkel!
jmtr_oaf_title;JAVAD JMT-R works only with athorized GNSS Receivers!;JAVAD JMT-R arbeitet nur mit athorisierten GNSS-Empfängern!
menu_cancel;Cancel Point;Punkt abbrechen
wifi_security;WiFi Security;WiFi Sicherheit
survey_setup_radio;Setup Radio;Funk einrichten
check_gal;Gallileo;Gallileo
levels_status_error;Levels calibration is required!;Pegelkalibrierung ist erforderlich!
quattro_angle_determination;Angle Determinatioin;Winkelbestimmung
text_next;Next;Weiter
enable_survey_from_ts;Duplicate TS Survey data to controller;TS Vermessungsdaten auf Controller duplizieren
cur_log_file;log;log
start_levels_calibration;Start\nLevels\nCalibration;Start\nNivellierung\nKalibrierung
button_start_station;Start Station;Start Station
string_survey_cf;Survey\n;Vermessung\n
text_point_antenna_height;Antenna Hgt.;Antenne Hgt.
wlan_ssid;WiFi SSID;WiFi SSID
rtcm3_summary;VRS RTCM3 Coordinate System;VRS RTCM3 Koordinatensystem
rcvclient_raw;Raw Mode;Roh-Modus
ip_address;IP Address/DNS;IP-Adresse/DNS
satsys;SatSys;SatSys
string_snr2;SNR 2;SNR 2
string_snr1;SNR 1;SNR 1
string_internet_from_xml;Internet from;Internet von
backsight_point_is_not_set;BackSight point is not set!;BackSight-Punkt ist nicht eingestellt!
clock_correction;Clock Correction;Uhr-Korrektur
view_satellite_numbers_as;View Sats. count;Ansicht Sats. count
text_along;Along;Entlang
jmtr_oaf_message;The GNSS receiver is not authorized to work with JAVAD Mobile Tools for Authorized Receiver (JMT-R)!\nPlease contact JAVAD GNSS or your dealer to purchase this authorization OAF option!\nYou can either load OAF option to the receiver or purchase and install full functional Javad Mobile Tools (J-Mobile).;Der GNSS-Empfänger ist nicht autorisiert, mit JAVAD Mobile Tools for Authorized Receiver (JMT-R) zu arbeiten!\nBitte wenden Sie sich an JAVAD GNSS oder Ihren Händler, um diese Autorisierungs-OAF-Option zu erwerben!\nSie können entweder die OAF-Option in den Empfänger laden oder die voll funktionsfähigen Javad Mobile Tools (J-Mobile) kaufen und installieren.
client_client_type;Client;Client
compensate_degradate_message;Receiver can compensate tilt with internal levels/compass.\nBut the position accuracy degrades to 0.2 meters;Der Empfänger kann die Neigung mit internen Niveaus/Kompass kompensieren.\nAber die Positionsgenauigkeit verschlechtert sich auf 0,2 Meter
action_map_zoomall;Zoom All;Alles zoomen
radio_from_receiver;From Receiver;Von Receiver
action_map_provider;Map Provider;Karte Anbieter
menu_close;Close;Schließen
instrument_height;Instrument Height;Gerätehöhe
screen_locked;Screen Lock;Bildschirm sperren
text_wtt_sign;\u0394W;\u0394W
receiver_files_summury;Receiver File Manager;Empfänger-Dateimanager
cant_convert_backsight_point_to_cws;Cannot convert backsight point to cws!;Kann Backsight-Punkt nicht in cws konvertieren!
button_close_file;Close File;Datei schließen
survey_job_name;JOB NAME;JOB-NAME
string_select;Select;Wählen Sie
about_jcors;JAVAD JCORS is a service for correction exchange between RTK Base and RTK Rover.\nNo static IP is required.\nTo work with the service your device should be registered in JCORS.;JAVAD JCORS ist ein Dienst für den Korrekturaustausch zwischen RTK Base und RTK Rover.\nEine statische IP ist nicht erforderlich.\nUm mit dem Dienst zu arbeiten, sollte Ihr Gerät in JCORS registriert sein.
button_read_base_jcors;Create RTK Base in JCORS;RTK-Basis in JCORS anlegen
screen_unlocked;Screen UnLock;Bildschirm entsperren
vrs;VRS;VRS
rtcm3cs_mismatch;RTCM3 coordinate system is different Job CS!;RTCM3-Koordinatensystem ist anders Job CS!
button_configure_internet;Internet Settings;Internet-Einstellungen
string_verify_mode;Verify Mode;Modus verifizieren
magnetic_azimuth;Mag.Azimuth;Mag.Azimut
antenna_use_vertical_offset;Use vertical offset;Vertikalen Offset verwenden
string_n;N;N
device_logout_warning;Do you want to unregister the receiver from JCORS?;Wollen Sie den Empfänger von JCORS abmelden?
error_correction;Error Correction(FEC);Fehlerkorrektur(FEC)
string_eye_xml;Eye;Auge
text_connection;Connected to;Verbunden mit
cmr;CMR;CMR
login;Login;Anmeldung
text_along_map;Along;Entlang
string_new_point;Point;Punkt
it_is_not_recommended_3_sat_systems;It is not recommended to activate more 3 sat.systems for your receiver!;Es wird nicht empfohlen, mehr als 3 Sat.Anlagen für Ihren Receiver zu aktivieren!
start_levels_calibration_land_small;L\ne\nv\ne\nl\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn;L\ne\nv\ne\nl\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn
nethub_login;NetHub Login;NetHub Anmeldung
power_off;Power Off;Ausschalten
button_menu;&#x25BC||;(x25BC)
receiver_wlan_ip;WLAN IP;WLAN IP
action_orginize_view;Orginize View;Orginize Ansicht
fix_lost;RTK Fix Lost;RTK Fix verloren
rcvclient_login;RCV Client Login;RCV-Client-Anmeldung
antenna_short;Ant;Ameise
epoch_rejected_vrms;Reject by VRMS;Ablehnen durch VRMS
use_vertical_offsets;Use vertical offset;Vertikalen Offset verwenden
tcp_on;TCP Mode;TCP-Modus
survey_mark_height;Mark Height;Höhe markieren
lat_lon_hgt;BLH;BLH
verify_number_epochs_in_group;Number Epochs in group;Anzahl Epochen in Gruppe
eu_zone_parameters;EU zone parameters;EU-Zonenparameter
height_filter;Height Filter;Höhenfilter
trajector_length_filter_summary;Trajectory Length Filter;Trajektorienlängen-Filter
receiver_time_clean_nvram;Last CleanNVRAM Time;Letzte CleanNVRAM-Zeit
verify_tolerance_in_group;Tolerance in group;Toleranzen in der Gruppe
cant_setup_antenna_input_type;Can not setup antenna input type!;Kann den Antenneneingangstyp nicht einstellen!
sats;sats;sats
title_hybrid_rtk;HYBRID RTK;HYBRID RTK
ntripserver_login;Ntrip User Name;Ntrip-Benutzername
action_show_clusters;Show Clusters;Cluster anzeigen
survey_enable_recording;Enable Recording;Aufzeichnung einschalten
button_stop_spectrum;Stop;Stoppen
survey_record_rate;Record Rate;Aufzeichnungsrate
string_corrections_stop;Pause Corrections;Pause Korrekturen
satel;Satel protocol settings;Satel Protokoll Einstellungen
ntripserver_port;IP Port of NTRIP Caster;IP-Port des NTRIP-Casters
receiver_time_since_reboot;Time Since Last Reboot;Zeit seit letztem Neustart
text_course_source;Course Source;Kurs Quelle
signals_glo;GLO;GLO
string_noise;Noise;Rauschen
wrong_number_epochs_in_group;Wrong number epochs in group!;Falsche Anzahl Epochen in der Gruppe!
string_surface_xml;Surface;Oberfläche
longitude;Longitude;Längengrad
lift_tilt_is_off;IMU mode is not compatible with Lift and Tilt mode;"Der IMU-Modus ""Feste Spitze"" ist nicht mit dem Modus ""Heben und Neigen"" kompatibel"
error_store_point;Data storing error!;Fehler bei der Datenspeicherung!
text_z_map;Z;Z
point_point;Point;Punkt
menu_accept;Accept Point;Punkt übernehmen
tt450hsw_protocol_parameters;TT450S(HW) params.;TT450S(HW)-Parameter.
status_bar_pdop;0.82;0.82
channel_spacing;Channel Spacing;Kanal-Abstand
lifttilt_is_off;LiftTilt is not compatible with Rover Detection. LiftTilt will turn off.;LiftTilt ist nicht kompatibel mit Rover Detection. LiftTilt wird ausgeschaltet.
string_file_surface;Surface File;Oberflächen-Datei
string_survey_settings;SURVEYING;SURVEYING
text_point_description;Description;Beschreibung
error_no_data_collected;No data collected!;Keine Daten gesammelt!
dialup_number;Dialup Number;Einwahlnummer
switched_to_extrap_5_sec;Switched to extrap 5 sec;Umgeschaltet auf Extrap 5 sec
string_base_internet_from_xml;Internet on base from;Internet auf Basis von
simplex;Simplex protocol settings;Simplex-Protokoll-Einstellungen
units;Measure Units;Einheiten messen
rtcm20_corrs_only;RTCM 2.0 Corrs.only;RTCM 2.0 Nur Korr.
lift_and_tilt_activated;Lift&amp||Tilt Activated;Heben&Neigen Aktiviert
elevation;Elevation;Elevation
wifi_ssid;WiFi SSID;WiFi SSID
receiver_power_board;Power Of Board, V;Leistung der Karte, V
base_station;BASE STATION;BASISSTATION
cant_read_rtk_base;Can\'t read RTK Base Info!;Kann RTK Base Info nicht lesen!
dev_ser_b_changed_to_dev_tcpcl_a_for_triumph_3;dev/ser/b AUX Port changed to dev/tcpcl/a for Triumph-3;dev/ser/b AUX Port geändert in dev/tcpcl/a für Triumph-3
quattro_heading;Heading;Überschrift
generic_radio;Generic radio;Allgemeiner Funk
error_with_antenna_height;Error with antenna height!;Fehler bei Antennenhöhe!
text_east;E\n;E\n
text_forward;Fwrd;Fwrd
target_line_small;Line Target;Linie Ziel
string_use_sats;Use;verwenden
minute;1 minute;1 Minute
link_quality;LQ;LQ
gprs_apn_summary;Access Point Name (APN);Zugangspunkt-Name (APN)
check_event_format;Write additional antenna height info, including height type and offset;Schreiben Sie zusätzliche Informationen zur Antennenhöhe, einschließlich Höhentyp und Offset
text_north;N\n;N\n
string_accept_title_settings;Accept epochs with tilt;Epochen mit Neigung akzeptieren
save_log;Save Log;Log speichern
text_averaging;Averaging\n\n;Mittelwertbildung\n
verify_no_data_data_collected;Verify is not finily finished;Verify ist noch nicht endgültig abgeschlossen
solution_type;Std;Std
lift_and_tilt_any_epoch_collected;Any epoch is collected at Lift/Titl survey;Jede Epoche wird bei der Heben/Neigen-Messung erfasst
string_detect_base_move;Detect Base movement during survey;Basisbewegung während der Vermessung erkennen
screen_locked_string;SCREEN LOCKED;BILDSCHIRM GESPERRT
text_ntt_sign;\u0394N;\u0394N
switched_to_extrap_5_sec_error;Error!;Fehler!
password;Password;Passwort
jmt_copyright;Copyright;Copyright
correction_source2;Correction Source;Korrektur Quelle
epoch_rejected_multi_rtk;Epoch Rejected by MultiRTK;Von MultiRTK abgelehnte Epoche
check_logging;Receiver File Logging;Empfänger-Datei-Protokollierung
text_hrms;HRMS\n;HRMS\n
check_irnss;IRNSS;IRNSS
maximum_uncorrected_tilt_angle_summary;Max.Uncorrected tilt angle;Max.unkorrigierter Neigungswinkel
rtcm30_full;RTCM 3.0 Full;RTCM 3.0 Voll
string_by_angles_string;By Angles\nN:\nE:\nH:;Nach Winkeln\nN:\nE:\nH:
remain;Remain ;Bleibt 
nethub_password;NetHub Password;NetHub Kennwort
color_black;Black;Schwarz
read_height_from_receiver;Read Height from Receiver;Höhe vom Empfänger lesen
string_menu_lock_style;Lock style from modifications;Stil von Änderungen sperren
button_apply_wifi_reset;Apply WiFi settings\n(Receiver reset is required!);WiFi-Einstellungen übernehmen\n (Receiver-Reset ist erforderlich!)
text_across_map;Across;Über
ntrip_client_runs;Ntrip client runs;Ntrip-Client läuft
quattro_use_constraints;Use Constraints;Constraints verwenden
string_wrong_antenna_id;Wrong antenna id!;Falsche Antennen-ID!
jps_full;JPS Full;JPS Voll
check_group_by_systems;Group by Systems;Nach Systemen gruppieren
start_compass_calibration;Start\nCompass\nCalibration;Start\nKompass\nKalibrierung
string_distance1_xml;Distance1;Abstand1
battery;battery;Batterie
code_is_required;Code is required! But did not set!;Code wird benötigt! Wurde aber nicht gesetzt!
text_left_sign;\u21E6;\u21E6
start_compass_calibration_land;S\nt\na\nr\nt\n \nC\no\nm\np\na\ns\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn;S\nt\na\nr\nt\n \nC\no\nm\np\na\ns\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn
text_average_off;Average Off;Durchschnittlich Aus
vendor;Vendor;Anbieter
job_sd_memory;Arhieve memory;Arhievespeicher
base_antenna_height;Antenna Height;Antenne Höhe
target_line;Line\nTarget;Linie\nZiel
simplex_protocol_parameters;Simplex Protocol Parameters;Parameter des Simplex-Protokolls
rtk;RTK;RTK
string_settings;Settings;Einstellungen
string_keep_desription_after_survey;Keep descriptions after survey;Beschreibungen nach der Vermessung beibehalten
string_menu_survey;Stake Survey;Pfahlvermessung
receiver_files;File Manager;Datei-Manager
job_name;Job Name;Job Name
title_multi_rtk;MULTI RTK;MULTI RTK
ntripserver_password;Ntrip Password;Ntrip Passwort
error_take_photo;Error of taking photo!;Fehler beim Fotografieren!
repeater;Use Repeater;Repeater verwenden
string_menu_offset_traverse;Traverse;Traverse
check_sbas;SBAS;SBAS
action_delete;Del;Del
gprs_password_summary;Password;Passwort
bitrate;Bitrate;Bitrate
source;Source;Quelle
record_rate;Record Rate;Aufnahmerate
lan_mask;Mask;Maske
text_averaging_small;Averaging\n\n;Mittelwertbildung\n\n
oc_is_not_selected;Occupation Point is not Selected!;Belegungspunkt ist nicht ausgewählt!
string_refresh_token;Refresh Token;Token aktualisieren
button_scan_uhf;Scan UHF;UHF scannen
receiver_is_not_connected;Receiver is not connected!;Empfänger ist nicht angeschlossen!
string_receiver_model_sn;Receiver;Empfänger
epochs_collected;epochs collected;Epochen gesammelt
hot_start;Hot Start;Heißer Start
text_along_sign;\u2195;\u2195
back_sight_distance;SD;SD
string_menu_offset_general;OffLine;OffLine
file_name_summary;This allows you to enter a string;Hier können Sie eine Zeichenkette eingeben
lan_gateway;Gateway;Gateway
reading_receiver_settings;Reading receiver settings&#8230||;Empfänger-Einstellungen lesen&#8230||
registration_mode;Registration;Registrierung
string_load_jmt;Switch to PlayMarket for JMT;Umschalten auf PlayMarket für JMT
gprs_login;Login;Anmeldung
not_enough_memory;Not enough memory in the receiver!;Nicht genug Speicher im Receiver!
maximum_corrected_tilt_angle;Max.Corrected tilt angle;Max.korrigierter Neigungswinkel
screen_lock_click;Locked screen click;Gesperrter Bildschirm klicken
cant_save_station_to_controller;Cannot save station to job!;Kann Sender nicht in Auftrag speichern!
text_textview;&#8230||;&#8230||
maximum_corrected_tilt_angle_summary;Max.Corrected tilt angle;Max.Korrigierter Neigungswinkel
epoch_rejected_tilt;Epoch Rejected by Tilt;Epoche wird durch Neigung abgelehnt
fixed;Fixed;Fixiert
text_course_map;Course;Kurs
read_cs_from_vrs;Read CS from VRS and set as Ref.Frame and Job CS;CS aus VRS lesen und als Ref.Frame und Job CS setzen
distance;Distance;Abstand
levels_status;Levels are calibrated OK;Pegel sind kalibriert OK
text_nearest;Near.;Nah.
description;Description;Beschreibung
string_design_cf;Design\n;Design\n
receiver_gprs_ip;GPRS IP;GPRS IP
rtpk_and_hybridrtk_are_off;RTPK and HybridRTK are not compatible with IMU. RTPK and HybridRTK will be turned off.;RTPK und HybridRTK sind nicht mit IMU kompatibel. RTPK und HybridRTK werden ausgeschaltet.
action_table;Table;Tabelle
epochs_reject; rejec.; rejec.
string_track;Track;Spur
string_menu_offset_none;No offset;Kein Offset
setup_internet_lan_format;IP:%1$s\nDHCP:%2$s;IP:%1$s\nDHCP:%2$s
accept_pdop;Accept PDOP;Akzeptieren PDOP
string_distance2_xml;Distance2;Abstand2
hours;hours;Stunden
cant_start_surveying;Can\'t start surveying!;Kann die Vermessung nicht starten!
button_cancel_2;Cancel;Abbrechen
file_name;File Name;Datei Name
jmt_license;Registration Status;Status der Registrierung
signal_turn_off_ok;Signal Turn Off successfully;Signal erfolgreich abschalten
text_base_distance;Base Distance;Basisabstand
lift_and_tilt_survey_mode;Lift&amp||Tilt;Heben&Neigen
job_archive;Archive path;Archiv-Pfad
ntripclient_port;Ntrip Client Port;Ntrip-Client-Anschluss
reset_imu_summary;Restart IMU to fix;IMU neu starten, um zu fixieren
button_apply_lan_reset;Apply LAN settings\n(Receiver reset is required!);LAN-Einstellungen übernehmen (Receiver-Reset ist erforderlich!)
antenna_type;Antenna Type;Antennen-Typ
csd_sim;SIM Card;SIM-Karte
string_multi_rtk_on;Multi RTK;Multi RTK
gateway;Gateway;Gateway
elevation_mask;Elevation Mask, degs;Elevationsmaske, degs
run_rtpk_after;Run RTPK after;RTPK ausführen nach
action_map_layers;Layers;Schichten
jmt_build;Build;Erstellen Sie
cant_convert_to_wgs84;Cannot convert to WGS84!;Kann nicht nach WGS84 konvertieren!
unlock_string;Unlock;freischalten
wrong_hi;Wrong Instrument Height!;Falsche Instrumentenhöhe!
string_corrections_start;Resume Corrections;Korrekturen fortsetzen
wifi_mode;WiFi Mode;WiFi-Modus
button_event;Event;Ereignis
text_zoom_minus;Minus;Minus
turn_on_sounds;Enable Sounds;Töne einschalten
quattro_baseline2;Baseline AC;Grundlinie AC
button_start_debug;Start Debug;Debug starten
quattro_baseline3;Baseline AD;Grundlinie AD
nav_system;Nav.System;Nav.System
remain_time;Remain time:;Verbleibende Zeit:
quattro_baseline1;Baseline AB;Grundlinie AB
sleep_mode;Sleep Mode;Schlafmodus
string_distance_string;Distance;Entfernung
wrong_tolerance_in_group;Wrong tolerance in group!;Falsche Toleranz in der Gruppe!
x_y_z;X:\nY:\nZ:;X:\nY:\nZ:
lift_and_tilt_deactivated;Lift&amp||Tilt Deactivated;Heben&Neigen Deaktiviert
csd_settings_name;Name;Name
text_stt_sign;\u0394S;\u0394S
file_recording;FILE RECORDING;DATEI AUFZEICHNUNG
button_traj;Traj;Traj
string_by_distances_string;By Distances\nN:\nE:\nH:;Nach Entfernungen\nN:\nE:\nH:
accept_vrms;Accept VRMS;VRMS übernehmen
instrument_height_string;Instrument Height;Instrument Höhe
string_method;Method;Methode
string_configuration;Configuration;Konfiguration
compass_and_levels;COMPASS / LEVELS;KOMPASS / LIBELLEN
start_compass_calibration_land_small;C\no\nm\np\na\ns\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn;C\no\nm\np\na\ns\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn
frequency_in_use;Frequency In Use;Frequenz In Verwendung
start_station_up;STATION START;STATION START
string_warning_string;Warning;Warnung
button_more;More &gt||&gt||;Mehr
level_offsets;Offsets;Versatzstücke
get_from_catalog;Get From Catalog;Aus Katalog holen
gprs_password;Password;Passwort
action_list;Point List;Punktliste
gprs_on;Set 3G/GPRS;3G/GPRS einstellen
button_stop_and_go;Stop and Go;Stopp und los
too_many_systems;Too many systems;Zu viele Systeme
duo_hd_mode;HD Mode;HD-Modus
string_fix__float_or_dgps_xml;Fix, Float or DGPS;Fix, Float oder DGPS
check_bdu;BeiDou;BeiDou
string_duplicate_button;Duplicate;Doppeltes
levels;Levels;Pegel
string_use_rtpk;Use RTPK;RTPK verwenden
antenna_height_unit;Height Unit;Höheneinheit
fec;Error Correction (FEC);Fehlerkorrektur (FEC)
button_apply_wifi;Apply WiFi settings;WiFi-Einstellungen anwenden
fee;Fee;Gebühr
no_next_target;No next target!;Kein nächstes Ziel!
frequency_overload;Frequency is Overloaded;Frequenz ist überlastet
lan_on;Set LAN;LAN einstellen
signals_qzss;QZSS;QZSS
protocol;Protocol;Protokoll
button_stop_corrections;Stop Corrs.;Korrs. stoppen
zone;Zone;Zone
string_survey_action;Survey;Vermessung
maximum_uncorrected_tilt_angle;Max.Uncorrected tilt angle;Max.unkorrigierter Neigungswinkel
lift_and_tilt_started;Lift&amp||Tilt Started;Heben&Neigen Gestartet
survey_file_recording;FILE RECORDING;DATEI AUFZEICHNUNG
string_drange;dRange;dBereich
enable_recording;Enable Recording;Aufzeichnung freigeben
string_satellite_signals;Lock/Use Signals;Signale sperren/verwenden
enable_low_power_mode;Enable Low Power Mode;Stromsparmodus einschalten
text_dn;dN\n;dN\n
text_ett;ETT;ETT
minutes;mins;mins
format;Format;Formatieren
text_dh;dH\n;dH\n
text_right_sign;\u21E8;\u21E8
survey_type;Survey Type;Umfrage Typ
text_de;dE\n;dE\n
measure_back_site_point;Measure BS;Maßnahme BS
corrections;CORRECTIONS;KORREKTUREN
antenna_vertical_offset_summary;Antenna Vertical Offset;Vertikaler Antennenversatz
need_3_measured_points;At least 3 measured backsight points are required!;Es sind mindestens 3 gemessene Backsight-Punkte erforderlich!
string_offset_xml;Offset;Versatz
rtcm3x_msm4;RTCM 3.x MSM4;RTCM 3.x MSM4
rtcm3x_msm3;RTCM 3.x MSM3;RTCM 3.x MSM3
l1c;L1C;L1C
generator;Generator;Generator
l1p;L1P;L1P
antenna_vertical_offset;Vertical Offset;Vertikaler Versatz
sounds;SOUNDS;SOUNDS
rtcm2x_dgps_full;RTCM 2.x DGPS Full;RTCM 2.x DGPS Voll
text_compatibility;Compatibility;Kompatibilität
mount_name;Mount Point;Montagepunkt
ntripserver_on;Ntrip Server;Ntrip-Server
string_code_is_required_values;Code for point survey;Code für Punktvermessung
tcpo_port;TCPO Port;TCPO-Anschluss
l2c;L2C;L2C
authentication;Authent.;Authentisch.
check_invisible;Show invisible;Unsichtbar anzeigen
cant_setup_gsps_mode;Cannot configure DGPS;DGPS kann nicht konfiguriert werden
button_register_jcors;Register receiver in JCORS;Empfänger in JCORS registrieren
string_view;View;anzeigen
ignore_movement;Ignore the movement;Ignorieren der Bewegung
l2p;L2P\nE5b\nB2;L2P\nE5b\nB2
string_format_sort;Format;Format
processor_load;Processor Load;Prozessor laden
rtcm3x_msm4_short;RTCM 3.x MSM4 Short;RTCM 3.x MSM4 Kurz
button_static;Static;Statisch
text_cut;Cut;Schnitt
string_debug_survey;Debug Survey;Debug-Übersicht
string_menu_offset_stakeout_point;Stakeout Point;Absteckpunkt
receiver_sn;Receiver S/N;Empfänger S/N
azimuth;Azimuth;Azimut
string_menu_average_on;Averaging On;Mittelwertbildung ein
imu_error;IMU Error;IMU-Fehler
button_start;Start;Start
action_sat_types;Satellites;Satelliten
epoch_rejected_hrms;Reject by HRMS;Ablehnen durch HRMS
lan_settings;LAN;LAN
string_prev_arrow;\u2190;\u2190
gprs_dhcp;DHCP;DHCP
text_ctt;CTT;CTT
job_surveyorname;Surveyor Name;Gutachter Name
button_apply;Apply;Anwenden
action_delete_last_surveyed_point;Delete last surveyed point;Letzten vermessenen Punkt löschen
height_filter_range;Range;Bereich
button_delete_style;Delete Style;Stil löschen
uhf;UHF;UHF
ntripserver_protocol_version;Ntrip Protocol Version;Ntrip Protokoll Version
wrong_height_range;Wrong Range!;Falscher Bereich!
confirm_point_survey;Confirm Point;Bestätigen Sie Punkt
