string_select_p2_;Select P2!;Wählen Sie P2!
string_can_t_create_point_;Can\'t create point ;Can\'t create point 
string_wrong_distance_;Wrong distance!;Falscher Abstand!
string_b__grid;B, grid;B, Gitter
string_can_t_convert_point_2_coordinates_to_currect_coordinate_system_;Can\'t convert point 2 coordinates to currect coordinate system!;Kann die Koordinaten von Punkt 2 nicht in das korrekte Koordinatensystem umrechnen!
string_select_p1_;Select P1!;Wähle P1!
string_wrong_height_difference_;Wrong height difference!;Falsche Höhendifferenz!
string_can_t_cut__1__3fm2_from_all__2__4fm2;Can\'t cut %1$.3fm2 from all %2$.4fm2;Kann %1$.3fm2 nicht von allen %2$.4fm2 abschneiden
string_can_t_convert_point_1_coordinates_to_currect_coordinate_system_;Can\'t convert point 1 coordinates to currect coordinate system!;Kann die Koordinaten von Punkt 1 nicht in das korrekte Koordinatensystem umrechnen!
string_contorining_is_over_with_an_error;Contorining is over with an error;Die Konturierung ist mit einem Fehler beendet
string_choose_action;Choose action;Aktion wählen
string_can_t_convert_point_3_coordinates_to_currect_coordinate_system_;Can\'t convert point 3 coordinates to currect coordinate system!;Kann die Koordinaten von Punkt 3 nicht in das korrekte Koordinatensystem umrechnen!
string_map;Map;Karte
string_select_p1;Select P1;P1 auswählen
string_point;point;Punkt
string_dh__slope___u0025;DH, Slope, \u0025;DH, Neigung, \u0025
string_select_p2;Select P2;Wählen Sie P2
string_swap_points;Swap Points;Punkte tauschen
string_no_contours;No contours;Keine Konturen
string_wrong_number_of_points_;Wrong number of points!;Falsche Anzahl von Punkten!
string_wrong_distance_d1_;Wrong distance D1!;Falscher Abstand D1!
string_can_t_keep__1__3fm2_from_all__2__4fm2;Can\'t keep %1$.3fm2 from all %2$.4fm2;Kann %1$.3fm2 nicht von allen %2$.4fm2 trennen
string_share_file_with___;Share file with&#8230||;Datei teilen mit&#8230||
string_h__avg_;H, Avg.;H, Avg.
string_wrong_slope_distance_and_height_;Wrong slope distance and height!;Falscher Neigungsabstand und Höhe!
string_wrong_offset_distance_;Wrong offset distance!;Falscher Offset-Abstand!
string_selected_points_are_not_a_convex_hull_;Selected points are not a convex hull!;Selektierte Punkte sind keine konvexe Hülle!
string_select_p3;Select P3;P3 wählen
string_select_p4;Select P4;Wählen Sie P4
string_point__s_successfully_created;Point %s successfully created;Punkt %s erfolgreich erstellt
string_points;points;Punkte
